1,Status,Program,Co-op,Grade Percentage,Date Accepted,Type,Other,,
385,Deferred,Geomatics,Yes,97,13-May,101,deferred from CS,,
386,Deferred,Geomatics,Yes,97.7,13-May,101,Deferred from CS,,
387,Deferred,Geomatics,Yes,97,13-May,101,"Deferred from cs, time for CE",,
388,Deferred,Geomatics,Yes,94,13-May,101,deferred from cs. spent like 30 minutes on the AIF LMAOOO,,
389,Deferred,Geomatics,Yes,98,13-May,101,Deferred from CS,,
390,Deferred,Geomatics,Yes,97.7,13-May,101,Deferred from CS,,
391,Deferred,Geomatics,Yes,97,13-May,101,"34 CCC 41 CSMC 68 Euclid, deferred from CS",,
392,Deferred,Geomatics,Yes,98.2,13-May,101,Deferred from CS,,
393,Deferred,Geomatics,Yes,95.5,13-May,101,Deferred from CS,,
394,Deferred,Geomatics,Yes,95.33,13-May,101,lmao they gave me the 5k bmo scholarship & march se but with the duality of a geomatics deferral. Deferred from CS,,
395,Deferred,Geomatics,Yes,98.6,13-May,101,Deferred from CS,,
396,Deferred,Geomatics,Yes,96.7,13-May,101,Deferred from CS,,
397,Deferred,Geomatics,Yes,98.33,13-May,101,46 CCC and strong ECs smh Deferred from Computer Science,,
398,Accepted,Geomatics,Yes,91.83,16-Dec,101,I purposely applied here,,
399,Deferred,Geomatics,Yes,96.5,13-May,101,"Store manager of a franchise. Strong aif, 98.5% Avg in the maths. salty. Deferred from Computer Science.",,
400,Accepted,Geomatics,Yes,92,13-May,101,,,
400,Accepted,Geomatics,No,92,13-May,101,,,
401,Accepted,Global Business and Digital Arts,Yes,95,16-Dec,,,,
402,Accepted,Global Business and Digital Arts,Yes,96,18-Dec,,,,
403,Accepted,Global Business and Digital Arts,Yes,94,03-Mar,,,,
404,Accepted,Global Business and Digital Arts,Yes,95,03-Mar,101,,,
405,Accepted,Global Business and Digital Arts,Yes,96,11-Mar,105,,,
406,Accepted,Health Studies,Yes,94,07-May,101,wrote the AIF,,
407,Accepted,Health Studies,Yes,95,22-Mar,,,,
408,Accepted,Health Studies,Yes,90,21-Oct,101,,,
409,Accepted,Mathematics,Yes,A*,09-Apr,105F,"Decent ECs, 78 Euclid, 25k + 2k scholarship",,
410,Accepted,Mechatronics Engineering,Yes,92.3,10-May,101,4k + 2k scholarship if i have gud avg,,
411,Accepted,Kinesiology,Yes,92,05-Feb,101,,,
412,Accepted,Kinesiology,Yes,92,05-Feb,,(no aif btw),,
413,Accepted,Kinesiology,Yes,89,07-Mar,,wrestling team from grade 10-11.,,
414,Accepted,Kinesiology,Yes,95,05-Mar,105,,,
415,Accepted,Kinesiology,Yes,90,04-Mar,101,,,
416,Accepted,Kinesiology,Yes,92,17-Dec,101,No AIF,,
417,Accepted,Life Science,Yes,98,17-Dec,,,,
418,Accepted,Life Science,Yes,89,21-Dec,,no aif,,
419,Accepted,Life Science,Yes,93.5,17-Dec,,,,
420,Accepted,Life Science,Yes,95.6 (IB: 40),10-Jan,,Completed AIF literally the day before i got my acceptance so idk if that counts,,
421,Accepted,Life Science,Yes,93,17-Dec,,,,
422,Accepted,Life Science,Yes,3.8 GPA Unweighted; 4.1 Weighted,22-Jan,105,no aif,,
423,Accepted,Life Science,Yes,92,06-May,101,,,
424,Accepted,Life Science,Yes,94,17-Dec,,no aif,,American System
425,Accepted,Life Science,Yes,96,05-Feb,101,no aif,,
426,Accepted,Life Science,Yes,IB 36 (85 - 90%),29-Jan,,no aif,,
427,Accepted,Life Science,Yes,92,17-Dec,,"(ENG4U: 80%, ENG3U: 88%, SBI4U: 94%, SBI3U: 95%, SPH3U: 99%, SCH3U: 91%, MCR3U: 90%, 3M Music: 93%, 3M Accounting: 93%)",,
428,Accepted,Life Science,Yes,97,04-Mar,101,,,
429,Accepted,Management Engineering,Yes,97.8,15-Apr,105,,,
430,Accepted,Management Engineering,Yes,94,29-Mar,101,,,
431,Accepted,Management Engineering,Yes,94,29-Mar,101,,,
432,Accepted,Management Engineering,Yes,91.3,29-Mar,101,,,
433,Accepted,Management Engineering,Yes,97.2,29-Mar,101,,,
434,Accepted,Management Engineering,Yes,94,29-Mar,101,,,
435,Accepted,Management Engineering,Yes,96.7,07-May,101,IB,,
436,Accepted,Management Engineering,Yes,98,29-Mar,101,,,
437,Rejected,Management Engineering,Yes,92.8,13-May,101,"14.1 last year adjustment, below par ECs",,
438,Accepted,Mathematics,Yes,96.17,10-May,101,,,
439,Accepted,Mathematics,Yes,91,11-May,105D,cegep,,
440,Accepted,Mathematics,Yes,93.8,05-Oct,105D,,,
441,Deferred,Mathematics,No,A*A*A*,13-May,105D,deferred from CS,,
442,Deferred,Mathematics,No,98.8,12-May,101,"below average aif & interview, deferred from cs",,
443,Deferred,Mathematics,No,94.8,13-May,105F,Deferred from CS co-op,,
444,Accepted,Mathematics,Yes,95,11-May,101,,,
445,Accepted,Mathematics,Yes,95.5,10-May,101,,,
446,Accepted,Mathematics,Yes,97.7,10-May,101,,,
447,Accepted,Mathematics,Yes,98.33,13-May,101,46 CCC Strong ECs smh,,
448,Accepted,Mathematics,Yes,98.6,10-May,101,,,
449,Accepted,Mathematics,Yes,94.5,10-May,101,,,
450,Accepted,Mathematics,Yes,41 (39/42) IB,13-May,105F,,,
451,Deferred,Mathematics,No,95.8,13-May,105F,Deferred from CS co-op,,
452,Accepted,Mathematics and Business Administration,Yes,90,11-May,105F,,,
453,Accepted,Mathematics and Business Administration,Yes,96,10-May,101,,,
454,Accepted,Mathematics and Business Administration,Yes,95,10-May,101,100 in Calc,,
455,Accepted,Mathematics and Business Administration,Yes,97,10-May,101,,,
456,Accepted,Information Technology Management,Yes,95.1,10-May,101,Pretty Solid AIF,,
456,Accepted,Mathematics and Business Administration,Yes,95.1,10-May,101,Pretty Solid AIF,,
457,Accepted,Mathematics and Chartered Professional Accountancy,Yes,99,10-May,101,,,
458,Accepted,Mathematical Physics,Yes,99,06-Feb,,,,
459,Accepted,Mathematics,Yes,91.7,10-May,101,,,
460,Accepted,Mathematics,Yes,96,10-May,101,,,
461,Accepted,Mathematics,Yes,92.7,10-May,101,,,
462,Accepted,Mathematics,Yes,94,11-May,101,,,
463,Accepted,Mathematics,Yes,98,09-Mar,,,,
464,Accepted,Mathematics,Yes,97,09-Mar,101,idk what to put here,,
465,Accepted,Mathematics,Yes,94,10-May,101,,,
466,Accepted,Mathematics,Yes,95,10-May,101,calculator go beep boop,,
467,Accepted,Mathematics,Yes,95,10-May,101,,,
468,Accepted,Mathematics,Yes,97,10-May,101,,,
469,Accepted,Mathematics,Yes,95.3,10-May,101,,,
470,Accepted,Mathematics,Yes,97,10-May,101,,,
471,Accepted,Mathematics,Yes,96.3,10-May,101,,,
472,Accepted,Mathematics,Yes,96,10-May,101,,,
473,Accepted,Mathematics,Yes,96,10-May,101,,,
474,Accepted,Mathematics,Yes,93.17,10-May,101,,,
475,Accepted,Mathematics,Yes,96,10-May,101,ecin,,
476,Accepted,Mathematics,Yes,97.2,10-May,101,:))),,
477,Accepted,Mathematics,Yes,95.8,10-May,101,,,
478,Accepted,Mathematics,Yes,93,10-May,101,,,
479,Accepted,Mathematics,Yes,96.2,10-May,101,,,
480,Accepted,Mathematics,Yes,96,10-May,101,FINALLY POG,,
481,Accepted,Mathematics,Yes,92,05-May,101,,,
482,Accepted,Mathematics,Yes,95.3,10-May,101,yes,,
483,Accepted,Mathematics,Yes,94.83,10-May,101,,,
484,Accepted,Mathematics,Yes,94,05-Jan,101,,,
485,Accepted,Mathematics,Yes,95,06-Apr,,ya so first round was supposed to firmly close march 31 and second round starts like may or smth from what I remember. So not sure why I got mine apr 6th. Can't complain tho. I might just be missing smth.,,
486,Accepted,Mathematics,Yes,97,09-Mar,101,,,
487,Accepted,Mathematics,Yes,100,09-Mar,,,,
488,Accepted,Mathematics,Yes,99,09-Mar,,,,
489,Accepted,Mathematics,Yes,96,09-Mar,,,,
490,Accepted,Mathematics,Yes,97,09-Mar,,,,
491,Accepted,Mathematics,Yes,96,09-Mar,,,,
492,Accepted,Mathematics,Yes,95.4,25-Feb,105,Domestic,,
493,Accepted,Mathematics,Yes,95,19-Mar,105,,,
494,Accepted,Mathematics,Yes,96.3,09-Mar,,,,
495,Accepted,Mathematics,Yes,97,09-Mar,101,IB,,
496,Accepted,Mathematics,Yes,98.4,03-May,105D,,,
497,Accepted,Mathematics,Yes,97,30-Apr,105D,"taking both calc and precalc (functions) at the same time rn so no early decision :,)",,
498,Accepted,Mathematics,Yes,94,09-Mar,,,,
499,Accepted,Mathematics,Yes,94,06-Feb,105,"Life Science Co-op , Accepted: Jan 15th",,
500,Accepted,Mathematics,Yes,100,06-Feb,,,,
501,Accepted,Mathematics,Yes,96,10-May,101,,,
502,Accepted,Mathematics,Yes,96.4,10-May,101,,,
503,Accepted,Mathematics,Yes,99.3,11-May,105D,,,
504,Accepted,Mathematics,Yes,97,10-May,101,"72 Euclid, 39csmc",,
505,Accepted,Mathematics,Yes,96.25,10-May,101,,,
506,Accepted,Mathematics,Yes,92.8,10-May,101,based,,
507,Accepted,Mathematics,Yes,91.5,10-May,101,,,
508,Accepted,Mathematics,Yes,94.5,21-May,101,Co-op Thank God I got in!,,
509,Deferred,Mathematics,No,95.4,13-May,105F,Deferred from computer science atleast I am accepted to Comp Eng lol,,
510,Deferred,Mathematics,No,98.17,12-May,101,Euclid 95. Decent AIF. Ontario Visa Student. Deferred from Computer Science,,
511,Deferred,Mathematics,No,96.17,12-May,101,Deferred from CS,,
512,Accepted,Mathematics,Yes,96.5,10-May,101,,,
513,Accepted,Mathematics and Business Administration,Yes,93,10-May,101,B:l,,
514,Accepted,Mathematics and Business Administration,Yes,96.5,10-May,101,"Only did Euclid (69), above AIF",,
515,Accepted,Mathematics and Business Administration,Yes,96.5,10-May,101,,,
516,Accepted,Mathematics and Business Administration,Yes,96.2,10-May,101,"Intl' student living in ON, Above avg AIF, only 1 math contest (69 on Euclid)",,
517,Accepted,Mathematics and Business Administration,Yes,96,10-May,101,got less than 30 on Euclid 😳,,
518,Accepted,Mathematics and Business Administration,Yes,95.33,10-May,101,Extracurriculars went hard,,
519,Accepted,Mathematics and Business Administration,Yes,95.3,10-May,101,,,
520,Accepted,Mathematics and Chartered Professional Accountancy,Yes,96,10-May,101,,,
521,Accepted,Mathematics and Chartered Professional Accountancy,Yes,91.7,10-May,101,took summer school English and had a 17% increase from grade 11,,
522,Accepted,Financial Analysis Risk Management,Yes,98.4,03-May,105D,,,
522,Accepted,Mathematics,Yes,98.4,03-May,105D,,,
523,Accepted,Financial Analysis Risk Management,Yes,94.5,09-Mar,,,,
523,Accepted,Mathematics,Yes,94.5,09-Mar,,,,
524,Accepted,Financial Analysis Risk Management,Yes,90,05-Mar,105,,,
524,Accepted,Mathematics,Yes,90,05-Mar,105,,,
525,Accepted,Mechanical Engineering,Yes,95.8,07-May,101,XD,,
526,Accepted,Mechanical Engineering,Yes,98,29-Mar,101,,,
527,Accepted,Mechanical Engineering,Yes,3.8/5.0 GPA,30-Mar,105F,,,
528,Accepted,Mechanical Engineering,Yes,97.3,26-Mar,105,,,
529,Accepted,Mechanical Engineering,Yes,94.4,26-Mar,105D,,,
530,Accepted,Mechanical Engineering,Yes,95,29-Mar,101,,,
531,Accepted,Mechanical Engineering,Yes,96,29-Mar,101,,,
532,Accepted,Mechanical Engineering,Yes,93,29-Mar,101,,,
533,Accepted,Mechanical Engineering,Yes,97,29-Mar,105,AB,,
534,Accepted,Mechanical Engineering,Yes,96,29-Mar,101,,,
535,Accepted,Mechanical Engineering,Yes,95.3,29-Mar,101,IB,,
536,Accepted,Mechanical Engineering,Yes,96.2,29-Mar,101,Normal adjust and IB,,
537,Accepted,Mechanical Engineering,Yes,94,29-Mar,101,12.3 adjust,,
538,Accepted,Mechanical Engineering,Yes,like a 3.7 GPA,29-Mar,105F,,,
539,Accepted,Mechanical Engineering,Yes,97,29-Mar,101,,,
540,Accepted,Mechanical Engineering,Yes,97.2,30-Mar,105F,,,
541,Accepted,Mechanical Engineering,Yes,97,29-Mar,101,Online English,,
542,Accepted,Mechanical Engineering,Yes,91.5,29-Mar,105D,,,
543,Accepted,Mechanical Engineering,Yes,97,29-Mar,105,,,
544,Accepted,Mechanical Engineering,Yes,91,07-May,101,,,
545,Accepted,Mechanical Engineering,Yes,95,07-May,101,Avg adjustment,,
546,Accepted,Mechanical Engineering,Yes,95,07-May,101,,,
547,Accepted,Mechanical Engineering,Yes,96.6,29-Mar,101,,,
548,Accepted,Mechanical Engineering,Yes,96,20-Apr,105,requested early decision / IB application,,
549,Rejected,Mechanical Engineering,Yes,92.6,13-May,105D,,,
550,Accepted,Mechatronics Engineering,Yes,93,07-May,101,,,
551,Rejected,Mechatronics Engineering,Yes,96.4,13-May,101,f,,
552,Rejected,Mechatronics Engineering,Yes,94.5,13-May,101,"Decent AIF, FIRST 2nd in Nationals",,
553,Accepted,Mechatronics Engineering,Yes,99,29-Mar,101,,,
554,Accepted,Mechatronics Engineering,Yes,95,30-Mar,101,,,
555,Accepted,Mechatronics Engineering,Yes,98.8,29-Mar,101,,,
556,Accepted,Mechatronics Engineering,Yes,97,29-Mar,105,,,
557,Accepted,Mechatronics Engineering,Yes,95,29-Mar,101,,,
558,Accepted,Mechatronics Engineering,Yes,98,29-Mar,101,,,
559,Accepted,Mechatronics Engineering,Yes,97,29-Mar,105F,,,
560,Accepted,Mechatronics Engineering,Yes,96.6,29-Mar,105,,,
561,Accepted,Mechatronics Engineering,Yes,97,07-May,101,,,
562,Accepted,Mechatronics Engineering,Yes,90,07-May,101,11.6 adj factor,,
563,Accepted,Mechatronics Engineering,Yes,97,26-Mar,105,,,
564,Accepted,Mechatronics Engineering,Yes,97,29-Mar,101,,,
565,Accepted,Mechatronics Engineering,Yes,95,29-Mar,101,,,
566,Accepted,Mechatronics Engineering,Yes,95,29-Mar,101,,,
567,Accepted,Mechatronics Engineering,Yes,97.5,29-Mar,101,250 Volunteer Hours,,
568,Accepted,Mechatronics Engineering,Yes,96.7,29-Mar,101,Average Adjust,,
569,Accepted,Mechatronics Engineering,Yes,95,29-Mar,101,Average Adjust/Average AIF,,
570,Accepted,Mechatronics Engineering,Yes,96,29-Mar,101,12.4 Adjust,,
571,Accepted,Mechatronics Engineering,Yes,95,29-Mar,101,Average Adjust/Average AIF,,
572,Accepted,Mechatronics Engineering,Yes,97.2,29-Mar,101,,,
573,Accepted,Mechatronics Engineering,Yes,95.8,29-Mar,101,Average Adjust,,
574,Accepted,Mechatronics Engineering,Yes,95,29-Mar,101,,,
575,Accepted,Mechatronics Engineering,Yes,96,29-Mar,101,,,
576,Accepted,Mechatronics Engineering,Yes,97.6,29-Mar,101,,,
577,Accepted,Mechatronics Engineering,Yes,97.5,29-Mar,101,,,
578,Accepted,Mechatronics Engineering,Yes,97.5,29-Mar,,~80 volunteer hours,,
579,Accepted,Mechatronics Engineering,Yes,98,27-Mar,105,,,
580,Accepted,Mechatronics Engineering,Yes,95,29-Mar,101,,,
581,Accepted,Mechatronics Engineering,Yes,98,20-Apr,105,"Applied for early decision, avg ECs",,
582,Accepted,Mechatronics Engineering,Yes,98.2,29-Mar,101,,,
583,Accepted,Mechatronics Engineering,Yes,94,07-May,101,12.5 adj,,
584,Accepted,Mechatronics Engineering,Yes,95.2,07-May,101,12.5 adj,,
585,Accepted,Mechatronics Engineering,Yes,95.83,07-May,101,Regular Adjustment,,
586,Accepted,Mechatronics Engineering,Yes,95.6,30-Mar,101,,,
587,Accepted,Mechatronics Engineering,Yes,94,07-May,101,12.5 adj,,
588,Accepted,Mechatronics Engineering,Yes,97,29-Mar,101,estimated AIF score of around 3 and 2 meaningful awards,,
589,Accepted,Mechatronics Engineering,Yes,98.3,29-Mar,101,,,
590,Accepted,Mechatronics Engineering,Yes,99,26-Mar,,,,
591,Accepted,Mechatronics Engineering,Yes,Predicted 4A*s,30-Mar,105,A Levels,,
592,Accepted,Mechatronics Engineering,Yes,95,29-Mar,101,,,
593,Accepted,Mechatronics Engineering,Yes,97.25,30-Mar,105D,,,
594,Deferred,Nanotechnology Engineering,Yes,96.3,07-May,101,"Deferred from BME, good ecs and avg adj",,
595,Deferred,Nanotechnology Engineering,Yes,88.8,07-May,101,"Deferred from Mechanical Engineering, 11.6 adj",,
596,Accepted,Nanotechnology Engineering,Yes,96.3,07-May,101,,,
597,Accepted,Nanotechnology Engineering,Yes,91.5,30-Mar,101,,,
598,Deferred,Nanotechnology Engineering,Yes,87.5,07-May,101,"deferred from management eng lol, conditions a little high here",,
599,Deferred,Physical Sciences,Yes,93.5,13-May,101,Deferred from Tron.....,,
600,Accepted,Physical Sciences,Yes,90-94 (IB 38),11-Feb,105,,,
601,Accepted,Physical Sciences,Yes,96.5,04-Mar,101,,,
602,Accepted,Physical Sciences,Yes,94.5,17-Dec,,,,
603,Accepted,Physical Sciences,Yes,95.2,17-Dec,,(no aif),,
604,Accepted,Physical Sciences,Yes,90,06-Feb,105,,,
605,Accepted,Physical Sciences,Yes,95.3,17-Dec,,,,
606,Accepted,Physical Sciences,Yes,92,17-Dec,,,,
607,Accepted,Physical Sciences,Yes,94,17-Dec,,,,
608,Accepted,Physical Sciences,Yes,90,05-Feb,,(no aif),,
609,Deferred,Physical Sciences,Yes,93.5,13-May,101,Deferred from Mechatronics Engineering ....,,
610,Accepted,Physics,Yes,90-94 (IB 38),11-Feb,105,with aif,,
611,Accepted,Physics,Yes,92.5,03-Feb,105,no aif,,
612,Accepted,Physics,Yes,97,05-Feb,,,,
613,Deferred,Planning,Yes,99.2,28-Apr,101,2 gold 1 silver in arch comps. but portfolio wasn't cracked enough ig (deferred from architecture)<:lipbite:839877133710917692>,,
614,Accepted,Planning,Yes,97,16-Dec,101,,,
615,Accepted,Planning,Yes,92,04-Mar,101,Submitted aif late december,,
616,Accepted,Planning,Yes,95.4,06-Feb,,,,
617,Accepted,Recreation and Leisure Studies,Yes,95,05-Feb,,,,
618,Accepted,Science,Yes,92,17-Dec,,"(ENG4U: 80%, ENG3U: 88%, SBI4U: 94%, SBI3U: 95%, SPH3U: 99%, SCH3U: 91%, MCR3U: 90%, 3M Music: 93%, 3M Accounting: 93%)",,
619,Rejected,Software Engineering,Yes,98,13-May,101,two in a day :))) should've cured covid ig,,
620,Rejected,Software Engineering,Yes,96.2,13-May,101,"summer english, SHAD, 2 student council, 3 clubs, one hackathon organizer, lifeguard. (92 euclid 53 CSMC CS i am waiting 👀)",,
621,Rejected,Software Engineering,Yes,93.5,12-May,101,screw 225,,
622,Rejected,Software Engineering,Yes,98.8,13-May,101,"got accepted to cs, ggwp",,
623,Rejected,Software Engineering,Yes,A* A* A*,13-May,105D,,,
624,Rejected,Software Engineering,Yes,96.1,13-May,101,adjust of 12.2. ECs were kinda lackluster and interview was avg,,
625,Rejected,Software Engineering,Yes,99.63,13-May,101,"Got in March, but deciding to pursue UofT Engsci, thanks everyone for everything and good luck 👍",,
626,Rejected,Software Engineering,Yes,98,13-May,101,return to monke,,
627,Rejected,Software Engineering,Yes,94,13-May,101,11.8 adj,,
628,Rejected,Software Engineering,Yes,99,13-May,101,got cs tho 😎,,
629,Accepted,Software Engineering,Yes,98.5,29-Mar,101,Commited to cfm,,
630,Accepted,Software Engineering,Yes,98,20-Apr,105,Asked for early decision,,
631,Accepted,Software Engineering,Yes,96.5,26-Mar,,IB so low adjustment,,
632,Accepted,Software Engineering,Yes,99,29-Mar,,,,
633,Accepted,Software Engineering,Yes,100,29-Mar,105D,,,
634,Accepted,Software Engineering,Yes,98.1,29-Mar,101,,,
635,Accepted,Software Engineering,Yes,96.89,29-Mar,101,,,
636,Accepted,Software Engineering,Yes,97.5,20-Apr,101,,,
637,Accepted,Software Engineering,Yes,94.2,19-Apr,105D,,,
638,Accepted,Software Engineering,Yes,99,07-May,101,"after all the emotional abuse, daddy finally let me in...",,
639,Accepted,Software Engineering,Yes,97,20-Apr,105,"A-LEVELS, average EC's,",,
640,Accepted,Software Engineering,Yes,98.8,29-Mar,101,,,
641,Accepted,Software Engineering,Yes,99,29-Mar,101,,,
642,Accepted,Software Engineering,Yes,99,29-Mar,101,,,
643,Accepted,Software Engineering,Yes,94,29-Mar,105,,,
644,Accepted,Software Engineering,Yes,98.5,26-Mar,105F,,,
645,Accepted,Software Engineering,Yes,98.3,26-Mar,105D,,,
646,Accepted,Software Engineering,Yes,93,29-Mar,105D,,,
647,Accepted,Software Engineering,Yes,98.8,29-Mar,,,,
648,Accepted,Software Engineering,Yes,99.8,29-Mar,101,,,
649,Accepted,Software Engineering,Yes,96,29-Mar,101,,,
650,Accepted,Software Engineering,Yes,93.8,29-Mar,101,,,
651,Accepted,Software Engineering,Yes,98,29-Mar,101,,,
652,Accepted,Software Engineering,Yes,98,29-Mar,101,13.9 adj + interview and aif submitted mid feb,,
653,Accepted,Software Engineering,Yes,98,29-Mar,,normal adj,,
654,Accepted,Software Engineering,Yes,97.17,29-Mar,101,17.9% adjustment factor + good AIF submitted on deadline (interview day before),,
655,Accepted,Software Engineering,Yes,98,29-Mar,101,13.9% adjustment factor + 250 volunteer hours and decent AIF/Interview,,
656,Accepted,Software Engineering,Yes,97,29-Mar,101,,,
657,Accepted,Software Engineering,Yes,98,29-Mar,101,,,
658,Accepted,Software Engineering,Yes,97.8,29-Mar,105,,,
659,Accepted,Software Engineering,Yes,95,29-Mar,101,,,
660,Accepted,Software Engineering,Yes,100,29-Mar,,,,
661,Accepted,Software Engineering,Yes,100,29-Mar,,,,
662,Accepted,Software Engineering,Yes,98,29-Mar,101,,,
663,Accepted,Software Engineering,Yes,97.6,29-Mar,105D,Strong ECs. Put top 5; If they used top 6 it would be 98.,,
664,Accepted,Software Engineering,Yes,97.33,29-Mar,101,,,
665,Accepted,Software Engineering,Yes,98.6,30-Mar,105F,,,
666,Accepted,Software Engineering,Yes,99.1,30-Mar,101,,,
667,Accepted,Software Engineering,Yes,91,30-Mar,105D,,,
668,Accepted,Software Engineering,Yes,97,30-Mar,105,,,
669,Accepted,Software Engineering,Yes,97.8,29-Mar,105D,Dame Time + Mamba Mentality,,
670,Accepted,Software Engineering,Yes,99.5,29-Mar,101,Significant Extra Curriculars,,
671,Accepted,Software Engineering,Yes,97.8,20-Apr,101,"provincial avg adj, used to be 13",,
672,Accepted,Software Engineering,Yes,97,20-Apr,,got early consideration,,
673,Accepted,Software Engineering,Yes,98.2,20-Apr,105,,,
674,Accepted,Software Engineering,Yes,98.3,07-May,101,,,
675,Accepted,Software Engineering,Yes,97.8,07-May,101,,,
676,Accepted,Software Engineering,Yes,99.2,07-May,101,avg adjustment,,
677,Accepted,Software Engineering,Yes,93,30-Mar,105,,,
678,Accepted,Software Engineering,Yes,94,30-Mar,105,,,
679,Accepted,Software Engineering,Yes,99.7,30-Mar,,,,
680,Accepted,Software Engineering,Yes,97,07-May,101,,,
681,Accepted,Software Engineering,Yes,97,30-Mar,105F,,,
682,Accepted,Software Engineering,Yes,97.5,20-Apr,101,,,
683,Accepted,Software Engineering,Yes,99.5,29-Mar,101,,,
684,Accepted,Software Engineering,Yes,99.5,29-Mar,101,,,
685,Rejected,Software Engineering,Yes,99,13-May,101,.,,
686,Rejected,Software Engineering,Yes,98.5,13-May,101,,,
687,Rejected,Software Engineering,Yes,97.33,13-May,101,,,
688,Rejected,Software Engineering,Yes,95.33,13-May,101,"10.8 2020 adj, didn't get Management Engineering alt. To Grade 11: if your avg is above 96, focus more on ECs than academics",,
689,Rejected,Software Engineering,Yes,97.7,13-May,101,gg,,
690,Rejected,Software Engineering,Yes,98.7,13-May,101,12.5 adj :(,,
691,Accepted,Software Engineering,Yes,96.5,29-Mar,101,AIF was strong towards engineering and interview was decent,,
692,Rejected,Software Engineering,Yes,93,13-May,105D,Who else is ready to get rejected from CS???,,
693,Rejected,Software Engineering,Yes,98,13-Jan,101,,,
694,Rejected,Software Engineering,Yes,92.5,13-May,101,in hindsight i should've applied to a different program LMAO 😂,,
695,Accepted,Software Engineering,Yes,88.4,13-May,101,68 on the CCC Really Helped... Not High School English,,
696,Accepted,Software Engineering,Yes,91,06-May,105D,,,
697,Accepted,Software Engineering,Yes,91,06-May,105D,cegep,,
698,Accepted,Systems Design Engineering,Yes,98.2,07-May,101,,,
699,Rejected,Systems Design Engineering,Yes,96.5,13-May,101,"Hackathon Organizer, 4 tech jobs, DECA ICDC 5th place, 2 varsity sports w/ regional awards, misc. tech fellowships and conference speaking <:pain:775493439340675072>",,
700,Accepted,Systems Design Engineering,Yes,96.6,07-May,101,"Good ECs, normal adj",,
701,Accepted,Systems Design Engineering,Yes,94.3,07-May,101,,,
702,Accepted,Systems Design Engineering,Yes,98,07-May,101,cool,,
703,Accepted,Systems Design Engineering,Yes,A*AA(a level predicted),29-Mar,105F,,,
704,Accepted,Systems Design Engineering,Yes,96,07-May,101,,,
705,Accepted,Systems Design Engineering,Yes,94.7,29-Mar,101,~10 Adjustment,,
706,Accepted,Systems Design Engineering,Yes,95,29-Mar,,~13 Adjustment,,
707,Accepted,Systems Design Engineering,Yes,97.3,26-Mar,105,,,
708,Accepted,Systems Design Engineering,Yes,92,29-Mar,101,16.1 Adjustmnet,,
709,Accepted,Systems Design Engineering,Yes,95.3,29-Mar,101,Sub 12 Adjustment,,
710,Accepted,Systems Design Engineering,Yes,98.5,29-Mar,101,Normal Adjustmen,,
711,Accepted,Systems Design Engineering,Yes,96,26-Mar,105D,,,
712,Accepted,Systems Design Engineering,Yes,93,30-Mar,105F,ISC,,
713,Accepted,Systems Design Engineering,Yes,92.6,29-Mar,101,,,
714,Accepted,Systems Design Engineering,Yes,95.5,09-May,101,avg. adjustment,,
715,Accepted,Systems Design Engineering,Yes,97.3,20-Apr,101,asked of early consideration,,
716,Accepted,Systems Design Engineering,Yes,97,07-May,101,,,
717,Accepted,Systems Design Engineering,Yes,93.6,29-Mar,101,,,
718,Accepted,Systems Design Engineering,Yes,96.7,07-May,101,,,
719,Accepted,Systems Design Engineering,Yes,96.8,07-May,101,,,
720,Accepted,Systems Design Engineering,Yes,97,07-May,101,,,
721,Accepted,Systems Design Engineering,Yes,95,10-May,105D,VEX robotics captain,,
722,Accepted,Systems Design Engineering,Yes,95.8,07-May,101,,,
723,Accepted,Systems Design Engineering,Yes,96,29-Mar,101,forgot to add these,,
724,Accepted,Systems Design Engineering,Yes,97.3,29-Mar,101,,,
725,Rejected,Computer Science,Yes,99,14-May,101,fuck waterloo,,
726,Rejected,Computer Science,Yes,3.8UW GPA,14-May,105D,"uhhh, didn't do testing because i didn't have access. estimated average 92ish, very good ecs/aif but limited hooks for this program",,
727,Rejected,Mathematics,Yes,92,14-May,101,Lol,,
728,Rejected,Computer Science and Business Administration,Yes,99,14-May,101,FUCK WATERLOO AGAIN,,
729,Rejected,Computer Science and Business Administration,Yes,95,14-Mar,101,Expected,,
730,Rejected,Computer Science and Business Administration,Yes,94.7,14-May,101,Still got CS Co-op😎,,
731,Rejected,Computer Science,Yes,99,14-May,105D,rejected from both,,
731,Rejected,Computing and Financial Management,Yes,99,14-May,105D,rejected from both,,
732,Rejected,Computer Science,Yes,89.67,14-May,101,I didn't think I had a chance either way,,
733,Rejected,Computer Science and Business Administration,Yes,96,14-May,101,its been a geomatics bloodbath 🤡,,
734,Accepted,Mechatronics Engineering,Yes,96.33,29-Mar,101,,,
735,Rejected,Computing and Financial Management,Yes,97,14-May,101,"Expected, didn't mention CFM once on AIF 😎",,
736,Rejected,Computer Science,Yes,92,14-May,101,,,
737,Rejected,Mathematics,Yes,96.5,14-May,101,"99 AF, 98 Calc. HUH???",,
738,Rejected,Computing and Financial Management,Yes,92,14-May,101,,,
739,Rejected,Computer Science,Yes,98.4,13-May,105D,"1580 SAT, pretty good ECs, class rank 3/1000",,
740,Deferred,Computer Science,Yes,97,13-May,101,"76 Euclid, English dragging avg. down",,
